GA, Exhaustive
0.8928571428571428, 0.8928571428571428
0.875, 0.90625
0.8611111111111112, 0.9166666666666666
0.0, 0.0
1.0, 1.0
0.9642857142857143, 0.9642857142857143
1.0, 1.0
0.0, 0.0
0.75, 0.85
1.0, 1.0
0.0, 0.0
0.8928571428571428, 0.9285714285714286
0.0, 0.0
0.0, 0.0
0.75, 0.84375
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.9642857142857143, 0.9642857142857143
0.0, 0.0
0.96875, 0.96875
0.0, 0.0
0.0, 0.0
0.9285714285714286, 0.9285714285714286
0.0, 0.0
0.0, 0.0
1.0, 1.0
0.8125, 0.8125
0.0, 0.0
0.90625, 0.96875
1.0, 1.0
1.0, 1.0
0.0, 0.0
0.0, 0.8333333333333334
1.0, 1.0
0.0, 0.0
0.9444444444444444, 0.9444444444444444
0.8333333333333334, 0.8888888888888888
1.0, 1.0
1.0, 1.0
1.0, 1.0
0.0, 0.0
1.0, 1.0
0.0, 0.0
1.0, 1.0
0.0, 0.0
1.0, 1.0
0.9583333333333334, 0.9583333333333334
0.9642857142857143, 0.9642857142857143
1.0, 1.0
1.0, 1.0
1.0, 1.0
0.0, 0.0
1.0, 1.0
1.0, 1.0
0.9444444444444444, 0.9722222222222222
0.0, 0.0
0.0, 0.0
0.9444444444444444, 0.9722222222222222
0.0, 0.0
1.0, 1.0
1.0, 1.0
0.875, 0.875
0.0, 0.0
0.0, 0.0
1.0, 1.0
0.95, 0.95
0.0, 0.0
1.0, 1.0
1.0, 1.0
1.0, 1.0
0.0, 0.0
1.0, 1.0
0.0, 0.0
0.0, 0.0
1.0, 1.0
0.8055555555555556, 0.8888888888888888
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
1.0, 1.0
1.0, 1.0
1.0, 1.0
0.0, 0.0
0.0, 0.0
1.0, 1.0
0.0, 0.0
1.0, 1.0
0.0, 0.0
0.0, 0.0
1.0, 1.0
1.0, 1.0
0.9583333333333334, 0.9583333333333334
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.9166666666666667, 0.9166666666666667
0.8055555555555556, 0.8611111111111112
